"","pathway","pval","padj","ES","NES","nMoreExtreme","size","leadingEdge"
"6932","PRERIBOSOME, LARGE SUBUNIT PRECURSOR%GOCC%GO:0030687","0.438780609695152","0.929480364986007","-0.391174096242344","-1.01843750164644","2633","22","Casp8"
"6933","MICROTUBULE PLUS-END%GOCC%GO:0035371","0.0707697467717592","0.456861294719929","-0.558657374686487","-1.42824856259316","421","20","c(""Skap1"", ""Nckap5"", ""Kif2c"")"
"6934","INTEGRAL COMPONENT OF MITOCHONDRIAL MEMBRANE%GOCC%GO:0032592","1","1","0.149957494715559","0.52759185178027","3442","66","c(""Apool"", ""Tomm70"", ""Cox11"", ""Gdap1"", ""Dnajc11"", ""Ppox"", ""Fundc1"", ""Cox18"", ""Armcx3"", ""Afg3l2"", ""Slc25a19"", ""Cnr1"", ""Coq2"", ""Sco1"", ""Tmem177"", ""Mul1"", ""Slc8a2"", ""Synj2bp"", ""Immt"", ""Bnip3"")"
"6935","SPINDLE POLE%GOCC%GO:0000922","0.951537616694124","1","-0.209930821534827","-0.748797236524611","6930","141","c(""Cdc20"", ""Cenpf"", ""Ccnb1"", ""Efhc1"", ""Dlgap5"", ""Plk5"", ""Nde1"", ""Ddx11"", ""Fam83d"", ""Haus8"", ""Mtcl1"", ""Fam161a"", ""Nedd1"", ""Nek2l1"", ""Cdc6"", ""Aurka"", ""Nudcd2"", ""Tbccd1"", ""Rmdn3"", ""Sgo1"", ""Rmdn1"", ""Uxt"", ""Cntrl"", ""Tubg1"")"
"6936","SARCOMERE%GOCC%GO:0030017","0.266195844085291","0.76608433683202","-0.307321783596787","-1.1041150510021","1959","149","c(""Ankrd1"", ""Scn5a"", ""Myom1"", ""Myh2"", ""Pgm5"", ""Casq2"", ""Capn3"", ""Neb"", ""Nrap"", ""Sphkap"", ""Kcna5"", ""Tnnc2"", ""Nos1"", ""Myo18b"", ""Fhl3"", ""Cryab"", ""Myom3"", ""Bag3"", ""Mmp2"")"
"6937","MYOFIBRIL%GOCC%GO:0030016","0.456079734219269","0.942614075518235","-0.273562773013456","-1.00171733948073","3431","175","c(""Myh8"", ""Ankrd1"", ""Scn5a"", ""Myom1"", ""Myh2"", ""Pgm5"", ""Casq2"", ""Capn3"", ""Myh3"", ""Neb"", ""Nrap"", ""Sphkap"", ""Kcna5"", ""Tnnc2"", ""Nos1"", ""Myo18b"", ""Fhl3"", ""Cryab"", ""Myom3"", ""Kcnj8"", ""Bag3"", ""Mmp2"", ""Lmod1"", ""Ahnak"", ""Pdlim3"", ""Flnc"", ""Sdc4"", ""Slc2a1"")"
"6938","EXTRACELLULAR MATRIX%GOCC%GO:0031012","0.000124766063630692","0.0136523982519876","-0.426149136003559","-1.63050921640995","0","273","c(""Npnt"", ""Vwa2"", ""P3h2"", ""Mepe"", ""Frem3"", ""Thbs1"", ""Matn4"", ""Col2a1"", ""Sfrp1"", ""Col13a1"", ""Myoc"", ""Chad"", ""Efemp1"", ""Lrrc3b"", ""Fgf1"", ""Tgfb2"", ""Col11a1"", ""Colq"", ""Cd180"", ""Tgfbi"", ""Lamb3"", ""Col9a1"", ""Reln"", ""Loxl2"", ""Pmp22"", ""Spon2"", ""Bgn"", ""Chadl"", ""Scara3"", ""Col17a1"", ""Tnc"", ""Col9a2"", ""Col9a3"", ""Tf"", ""Tgm4"", ""Anxa2"", ""Adamtsl2"", ""Wnt7a"", ""Kazald1"", ""Wnt3"", ""Col7a1"", ""Mmp2"", ""Col5a3"", ""Itga6"", ""Cthrc1"", ""Gpc6"", ""Ntn4"", ""Nid1"", ""Olfml2b"", ""Lama1"", ""Elfn1"", ""Mfap2"", ""Ptx3"", ""Tecta"", ""Ntn1"", ""Lrrc66"", 
""Col6a6"", ""Col3a1"", ""Abi3bp"", ""Fmod"", ""Apoe"", ""Egflam"", ""Thbs2"", ""Serpine2"", ""Col16a1"", ""Acan"", ""Sod3"", ""Serpinf1"", ""Gpld1"", ""Col4a5"", ""Vtn"", ""Adamts9"", ""Vwa1"", ""Hmcn1"", ""Gpc2"", ""Sparc"", ""Fgfr2"", ""Timp3"", ""Coch"", ""Prelp"", ""Gpc3"", ""Optc"", ""Mmp14"", ""Col18a1"", ""Mmp15"", ""Hapln1"", ""Cst3"", ""Entpd2"", ""Clu"", ""Ache"", ""Egfl6"", ""Col6a5"", ""Tril"", ""Lrrn1"", ""Wnt5b"")"
"6939","TRANSMEMBRANE TRANSPORTER COMPLEX%GOCC%GO:1902495","0.0935077519379845","0.508452361294584","0.268032982953181","1.15125606317426","192","261","c(""Cacna1f"", ""LOC100911951"", ""Kcns1"", ""Trpc5"", ""Pln"", ""Kcnq3"", ""Kcng2"", ""Gabrr3"", ""Cacna1e"", ""Kcnip2"", ""Kcnma1"", ""Grin2a"", ""Ryr2"", ""Kcnv2"", ""Kcnq5"", ""Clcn2"", ""Clcnkb"", ""Kcnq2"", ""Kcnmb2"", ""Shisa6"", ""Kcna1"", ""Trpc4"", ""Catsperd"", ""Hcn1"", ""Nlgn1"", ""Gabra2"", ""Kcnj3"", ""Cacnb4"", ""Cubn"", ""Scn8a"", ""Kcnk4"", ""Kcnab2"", ""Gabrb3"", ""Cnih3"", ""Gria1"", ""Catsper2"", ""Lrrc7"", ""Chrna7"", ""Kcns3"", ""Scn2b"", ""Kcng1"", ""Dlg2"", ""Cacna1b"", ""Kcne4"", ""Kcna3"", ""Glra1"", ""Kcnf1"", ""Cacna1c"", ""Pex5l"", ""Gria3"", ""Cacna1h"", ""Abcg5"", ""Gabra4"", 
""Trpc7"", ""Kcng3"", ""Akap9"", ""Sestd1"", ""Scn1b"", ""Dpp10"", ""Olfm1"", ""Cntnap1"", ""Kcnd3"", ""Chrnb4"", ""Grik3"", ""Kcna4"", ""Kcnip4"", ""Cacna1a"", ""Kcnc3"", ""Akap6"", ""Scn4a"", ""Trpc2"", ""Abcc8"", ""Scn11a"", ""Ptk2b"", ""Fkbp1a"")"
"6940","NUCLEAR HETEROCHROMATIN%GOCC%GO:0005720","0.75648988692467","1","-0.283128610497758","-0.814496262758143","4749","36","c(""Ikzf1"", ""Zfp57"", ""H2afz"", ""Foxc1"", ""Sirt2"", ""Cenpb"", ""Esco2"", ""Cbx5"", ""Dnmt3b"")"
"6941","NUCLEAR CHROMOSOME, TELOMERIC REGION%GOCC%GO:0000784","0.999409332545777","1","0.169425711709483","0.600992118782033","3383","69","c(""Rad51"", ""Pot1b"", ""Hmbox1"", ""Ten1"", ""Pinx1"", ""Stn1"", ""Pml"", ""Orc4"", ""Xrcc1"", ""Ctc1"", ""Smchd1"", ""Ppp1cb"", ""Lrif1"", ""Terf1"", ""Tnks"", ""Pold1"", ""Fen1"", ""Atrx"")"
"6942","CELL-SUBSTRATE ADHERENS JUNCTION%GOCC%GO:0005924","0.688380281690141","1","-0.249775389312977","-0.902276196770841","5082","158","c(""Cass4"", ""Asap3"", ""Pgm5"", ""Parvg"", ""Limd1"", ""Lims2"", ""Itga2b"", ""Nrap"", ""Itga11"", ""Itgb2"", ""Fes"", ""Trpv4"", ""Epb41l5"", ""Gsn"", ""Epha2"", ""Tes"", ""Adam17"", ""Itgb3"", ""Itga5"", ""Itga1"", ""Zfyve21"", ""Ptprc"", ""Sdc4"", ""Tns3"", ""Aif1l"", ""Map4k4"", ""Arhgap24"", ""Hck"", ""Cyba"")"
"6943","INTEGRAL COMPONENT OF PEROXISOMAL MEMBRANE%GOCC%GO:0005779","0.805002552322614","1","-0.307127429445108","-0.75359132178777","4730","17","c(""Slc27a2"", ""Pex13"", ""Pex11g"", ""Fis1"")"
"6944","MICROTUBULE ASSOCIATED COMPLEX%GOCC%GO:0005875","0.939338235294118","1","-0.213682179515393","-0.743732821031277","6642","116","c(""Kif18a"", ""Dnali1"", ""Mefv"", ""Kif23"", ""Kif22"", ""Kif2c"", ""Nde1"", ""Kif4a"", ""Kif15"", ""Haus8"", ""Cdca8"", ""Kif19"", ""Dynlt1"", ""Ccdc114"", ""Aurka"", ""Trim54"", ""Wdr34"", ""Dnah6"", ""Klc4"", ""Dnah12"")"
"6945","ENDOCYTIC VESICLE%GOCC%GO:0030139","0.365939099973053","0.874845019555398","-0.288883862898344","-1.04720548520742","2715","162","c(""Slc18a3"", ""Amn"", ""Drd2"", ""Lck"", ""Tlr9"", ""Lpar1"", ""Pld4"", ""Tlr7"", ""Cybb"", ""Unc93b1"", ""Cdc42ep2"", ""Tf"", ""Anxa3"", ""Gsn"", ""Rab13"", ""Rab7b"", ""Slc11a1"", ""Ocln"", ""Rab11fip1"", ""Stxbp2"", ""Myo6"", ""Rab20"", ""Pik3c2b"", ""Irgm"", ""Cdc42ep4"", ""Was"", ""Pld1"", ""Abca1"", ""Heatr5a"", ""Appl2"", ""Tcirg1"", ""Rab9a"", ""Hip1"", ""Lrp2"", ""Lamp2"", ""Stxbp3"")"
"6946","NUCLEAR DNA-DIRECTED RNA POLYMERASE COMPLEX%GOCC%GO:0055029","1","1","0.129622498331766","0.482591315722399","3195","91","c(""Taf7l"", ""Polr3e"", ""Taf6l"", ""Polr3b"", ""Taf1"", ""Trrap"", ""Gtf2h3"", ""Prim1"", ""Mnat1"", ""Taf9b"", ""Wdr61"", ""Polr3k"", ""Polr3c"", ""Gtf2h4"", ""Rprd2"", ""Polr3f"", ""Pola2"", ""Polr3d"", ""Cd3eap"", ""Polr1a"", ""Gtf2h2"", ""Gtf2e2"", ""Rprd1a"", ""Ercc3"", ""Taf2"", ""Rpap2"", ""Gtf2h1"", ""Polr3gl"", ""Ccnh"", ""Polr2g"", ""Polr2a"", ""Polr2k"", ""Polr1c"", ""Setd5"")"
"6947","I BAND%GOCC%GO:0031674","0.206226792345044","0.690395566432247","-0.33398079337609","-1.15191610197052","1443","108","c(""Ankrd1"", ""Scn5a"", ""Myom1"", ""Pgm5"", ""Casq2"", ""Capn3"", ""Neb"", ""Nrap"", ""Sphkap"", ""Kcna5"", ""Nos1"", ""Myo18b"", ""Fhl3"", ""Cryab"", ""Myom3"")"
"6948","CYTOPLASMIC STRESS GRANULE%GOCC%GO:0010494","0.638974073041539","1","0.26954638714536","0.90037529881289","2291","50","c(""Grb7"", ""Dyrk3"", ""Ddx6"", ""Zfand1"", ""Prkaa2"", ""Nufip2"", ""Mbnl1"", ""Tia1"", ""Ogfod1"", ""Kpna2"", ""Fmr1"", ""Rc3h1"", ""Larp4b"")"
"6949","ER TO GOLGI TRANSPORT VESICLE MEMBRANE%GOCC%GO:0012507","0.723599934307768","1","-0.304814556258359","-0.822682266369796","4405","26","c(""Sec16b"", ""Sec31b"", ""Sec24d"")"
"6950","PERIKARYON%GOCC%GO:0043204","0.699464012251149","1","0.22743515430544","0.916866734591197","1826","153","c(""Oprm1"", ""Cacna1f"", ""Th"", ""Itga8"", ""Cacna1e"", ""Htr5a"", ""Pcsk1"", ""Clcn2"", ""Epm2a"", ""Npff"", ""Rtn4r"", ""Kcna1"", ""Hspb1"", ""Oprk1"", ""Esr1"", ""Rtn4rl2"", ""Mapk10"", ""Slc2a3"", ""Map2k4"", ""Lrrk2"", ""Glra1"", ""Cacna1c"", ""Gria3"", ""Cacna1h"", ""Gabbr2"", ""Pcsk2"", ""Scn1b"", ""Pdpk1"", ""Eno2"", ""Olfm1"", ""Pde10a"", ""Slc12a5"", ""Grik3"", ""Mapk1"", ""Cacna1a"", ""Kcnc3"", ""App"", ""Nell2"")"
"6951","BLOC COMPLEX%GOCC%GO:0031082","0.510522406536271","0.979507263709963","0.347833250167358","0.953303677979594","2061","20","c(""Pi4k2a"", ""Washc1"", ""Snap25"", ""Hps1"", ""Snap47"", ""Hps4"", ""Bloc1s3"", ""Bloc1s1"", ""Hps3"", ""Washc4"", ""Bloc1s6"", ""Hps5"")"
"6952","ORGANELLAR SMALL RIBOSOMAL SUBUNIT%GOCC%GO:0000314","0.658070834013383","1","-0.31787556285993","-0.866783020027205","4031","27","c(""Mrps18b"", ""Dap3"", ""Mrpl16"", ""Mrps28"", ""Mrps26"", ""Mrpl42"", ""Mrps10"", ""Mrps14"", ""Mrps31"", ""Mrps36"", ""Mrps25"")"
"6953","EXTRACELLULAR EXOSOME%GOCC%GO:0070062","0.246770802042655","0.744042662437914","-0.347112843939616","-1.13191695826986","1642","72","c(""Itga4"", ""Sdc1"", ""Myoc"", ""Cd86"", ""Itga2b"", ""Cd9"", ""Anxa2"", ""Snx18"", ""Faslg"", ""Slc9a3"", ""Naglu"", ""Prom1"", ""Ahnak"", ""Bhmt"", ""Gprc5b"", ""Cd63"", ""Cd81"", ""Clic1"", ""Lamp2"")"
"6954","EXTERNAL SIDE OF PLASMA MEMBRANE%GOCC%GO:0009897","0.000127420998980632","0.0136523982519876","-0.45225070150582","-1.7066430392804","0","238","c(""Cd44"", ""Itga4"", ""Cd4"", ""Umodl1"", ""Ackr4"", ""Cd14"", ""RT1-Ba"", ""Sdc1"", ""Thbs1"", ""Cd6"", ""Ada"", ""Cd22"", ""Fcgr3a"", ""Ccr10"", ""Itgal"", ""Fcgr1a"", ""Tnfrsf11a"", ""Cd40"", ""Fcgr2b"", ""RT1-A2"", ""Fas"", ""Il7r"", ""Cd86"", ""Itga2b"", ""Itgam"", ""Mog"", ""Dlk1"", ""Csf3r"", ""Cd48"", ""Adgre1"", ""Vsir"", ""RT1-A1"", ""Kcnj5"", ""Htr2c"", ""Fcgrt"", ""Ccr3"", ""Enpp3"", ""Cdh5"", ""Tf"", ""Cd9"", ""Plg"", ""Fcer1g"", ""Itga6"", ""Antxr2"", ""Tnfsf13"", ""Tnfrsf9"", ""Enox2"", ""Faslg"", ""Itgb3"", ""Izumo1r"", ""Itga5"", ""Apoe"", ""Itga1"", ""Serpine2"", ""Hfe"", ""Ly6g5b"", ""Ccl19"", 
""Gfra2"", ""Cd276"", ""Ptprc"", ""Cd24"", ""RT1-T24-3"", ""Cx3cr1"", ""Scube1"", ""Il11ra1"", ""Spa17"", ""Tlr4"", ""Mcam"", ""Lepr"", ""P2ry12"", ""RT1-CE10"", ""B4galt1"", ""Fcgr2a"", ""Ghr"", ""Tlr2"", ""Abca1"", ""Eng"", ""RT1-T24-4"", ""Cxcr4"", ""Ctsl"", ""Ache"", ""Cxcl12"", ""Lrp2"")"
"6955","INTEGRAL COMPONENT OF POSTSYNAPTIC MEMBRANE%GOCC%GO:0099055","0.0110771581359817","0.174431605546157","0.337559861485187","1.36915019280652","28","158","c(""P2rx1"", ""Oprm1"", ""Cdh9"", ""Chrm2"", ""Cacna1e"", ""Grin2a"", ""Adcy1"", ""Chrm4"", ""Htr5a"", ""Dcc"", ""Adora2a"", ""Neto1"", ""Clstn2"", ""Shisa6"", ""Kcna1"", ""Adra1a"", ""Slc16a7"", ""Nlgn1"", ""Oprk1"", ""Gabra2"", ""Adam22"", ""Scn8a"", ""Gabrb3"", ""Gria1"", ""Lrrc7"", ""Flrt3"", ""Chrna7"", ""Grm2"", ""Chrm1"", ""Lrrc4c"", ""Kcna3"", ""Glra1"", ""Cacna1c"", ""Gria3"", ""Cacna1h"", ""Grm5"", ""Nrp1"", ""Gabra4"", ""Slitrk3"", ""Erbb4"", ""Gabbr2"", ""Nrg1"")"
"6956","STRESS FIBER%GOCC%GO:0001725","0.892765053844987","1","-0.234015439489593","-0.754757738346395","5885","68","c(""Pgm5"", ""Sh2b2"", ""Fhl3"", ""Fhod1"", ""Pstpip1"", ""Tmsb15b2"", ""Bag3"", ""Pdlim4"")"
"6957","CHROMOSOMAL REGION%GOCC%GO:0098687","0.998586239396795","1","0.171597700049583","0.733557800657768","2118","248","c(""Mis18a"", ""Cenpt"", ""Cenpi"", ""Mis18bp1"", ""Ska1"", ""Pmf1"", ""Ccdc155"", ""Rad51"", ""Nsl1"", ""Cenpo"", ""Ndc80"", ""Pot1b"", ""Hmbox1"", ""Cenpe"", ""Cebpb"", ""Cenpu"", ""Blm"", ""Taf7l"", ""Ncapg"", ""Ten1"", ""Ska3"", ""Zwilch"", ""Cenpn"", ""Dmc1"", ""Pinx1"", ""Sin3a"", ""Plk1"", ""Stn1"", ""Pml"", ""Orc4"", ""Birc5"", ""Ss18l1"", ""Zbtb48"", ""Ezh1"", ""Wrap53"", ""Baz1b"", ""Sgo2"", ""Dync1i1"", ""Trim66"", ""Rcc2"", ""Dynll1"", ""Incenp"", ""Xrcc1"", ""Dync1li1"", ""Piwil2"", ""Fmr1"", ""Recql4"", ""Ctc1"", ""Mad2l1"", ""Nup85"", ""Zfp276"", ""Smchd1"", ""Ncapd3"", ""Ppp1cb"", ""Wdhd1"", 
""Smc5"", ""LOC103694903"", ""Dnmt1"", ""Lrif1"", ""Terf1"", ""Tnks"", ""Tpr"", ""Psen1"", ""Dynlt3"", ""Pold1"", ""Spag5"")"
"6958","COLLAGEN TRIMER%GOCC%GO:0005581","0.00451291627762216","0.105344337025669","-0.537582948325903","-1.65562525197624","28","52","c(""LOC103693323"", ""C1qtnf7"", ""Col2a1"", ""C1ql2"", ""Col13a1"", ""C1qtnf6"", ""Col11a1"", ""Colq"", ""Col9a1"", ""Col17a1"", ""Col9a2"", ""Col9a3"", ""C1qc"", ""Col5a3"", ""Cthrc1"", ""C1qa"", ""Col3a1"", ""Col4a5"", ""C1ql1"", ""Colec11"", ""C1qb"")"
"6959","CLATHRIN-COATED PIT%GOCC%GO:0005905","0.926592797783934","1","-0.226469128975523","-0.711948644950297","6020","58","c(""Slc18a3"", ""Adcy8"", ""Tf"", ""Cdhr5"", ""Necap2"", ""Myo6"", ""Hip1"", ""Lrp2"")"
"6960","ESCRT COMPLEX%GOCC%GO:0036452","0.992170581375979","1","-0.188186028805279","-0.48994989919393","5955","22","c(""Ubap1l"", ""Vps25"", ""Mvb12b"", ""Vps37c"", ""Chmp6"", ""Snf8"", ""Chmp2a"", ""Tsg101"", ""Ubap1"", ""Mvb12a"", ""Vps28"", ""Chmp7"", ""Vps37d"", ""Hgs"", ""Chmp1a"", ""Vps37b"", ""Chmp3"", ""Stam"", ""Chmp2b"", ""Vps36"", ""RGD1566265"", ""Vps37a"")"
"6961","MYOFILAMENT%GOCC%GO:0036379","0.43333898017957","0.927357338876719","-0.411628002373184","-1.02470350162096","2557","18","c(""Myom1"", ""Tnnc2"", ""Myom3"")"
"6962","MITOCHONDRIAL PROTEIN COMPLEX%GOCC%GO:0098798","1","1","0.105154229392988","0.450017672251351","2125","250","c(""Apool"", ""LOC100912599"", ""Cox6a2"", ""Trmt10c"", ""Grpel2"", ""Ndufv3"", ""Tomm70"", ""Mrpl21"", ""Pdk2"", ""Pdp2"", ""Mtx3"", ""Pnpt1"", ""LOC100911417"", ""Dnajc11"", ""Bax"", ""Tomm6"", ""Pdk1"", ""Mrpl32"", ""Mrps22"", ""Mrpl19"", ""Idh3a"", ""Mrpl47"", ""Foxred1"", ""Mrpl30"", ""Afg3l2"", ""Ndufa10l1"", ""Atp5me"", ""Ndufs1"", ""RGD1305089"", ""Mrpl43"", ""Mrpl35"", ""Timm10"", ""Mrps15"", ""Timm9"", ""Mrps6"", ""Bckdk"", ""Mtx1"", ""Vdac1"", ""Slc25a16"", ""Dmac2"", ""Ndufb10"", ""Tomm40l"", ""Mterf4"", ""Ndufs6"", ""Ndufv1"", ""Mrpl37"", ""Mrpl38"", ""Atp5f1c"", ""Immt"", ""Atp5mc3"", 
""Ndufb2"", ""Mt-atp8"", ""Mrps2"", ""Polrmt"", ""Atp5md"", ""Mrpl34"", ""Sdha"", ""Immp1l"", ""mrpl24"", ""Mrpl51"", ""Ndufab1"", ""Uqcrc2"", ""Mrpl40"", ""Chchd3"", ""Tomm5"", ""Ndufaf1"", ""Romo1"", ""Pdha1"", ""Tomm20"", ""Mrps35"", ""LOC100362432"", ""Tomm7"", ""Ndufs4"", ""Mrpl18"", ""Mrpl39"", ""Ndufb6"", ""Ndufc1"", ""RGD1563482"", ""Cox4i1"", ""mrpl11"", ""Mrpl41"", ""Mtg2"", ""Suclg2"", ""Mt-nd3"", ""Ndufb4"", ""Mrps17"", ""Mrpl23"", ""Atp5pf"", ""Mrps12"", ""Mrpl33"", ""Agk"", ""Park7"", ""Ndufa11"", ""Mrpl50"", ""Atp5mc1"", ""Ndufa4"", ""Mt-nd2"", ""LOC691427"", ""Ndufv2"", ""Mrpl22"", 
""Mrpl14"", ""Mtx2"", ""Mrps9"", ""Dmac1"", ""Mrpl15"", ""Mrps30"", ""Cox5a"", ""Supv3l1"", ""Cyc1"", ""Chchd6"", ""Timm17a"", ""Tomm40"", ""Atp5mf"", ""Mrpl55"", ""Timm13"", ""Polg"", ""Uqcrfs1"", ""Ndufb3"", ""Uqcrc1"", ""Atp5f1d"", ""Hadha"", ""Idh3B"", ""LOC100910528"", ""Mrpl57"", ""Minos1"", ""Uqcrb"", ""Mrps18c"", ""Ndufb11"", ""Samm50"", ""Ndufs2"", ""Micu2"", ""Mrps11"", ""Atp5f1b"", ""Atp5mg"", ""Mrps18a"", ""Mrpl2"", ""LOC301124"", ""Mrps5"", ""Mrps7"", ""Chchd1"", ""Dnajc15"", ""Ndufa9"", ""Micu1"", ""Mrps16"", ""Mrpl17"", ""Mt-nd4l"", ""Mrpl4"", ""Uqcr10"", ""Smdt1"", ""Mrpl58"", ""Sdhb"", 
""Mt-atp6"", ""Hadhb"", ""Uqcrh"", ""Mrps21"", ""Ankzf1"", ""Mrpl20"", ""Uqcrq"", ""Atp5po"", ""Ndufa2"", ""Ndufa3"", ""Ndufa8"", ""Suclg1"", ""Ndufb5"", ""Mfn1"", ""LOC684509"", ""Atp5f1a"", ""Spg7"", ""Tomm22"", ""Mrps27"", ""Ndufc2"", ""Cox6c"", ""Timm50"", ""Mrpl44"", ""Mrpl12"", ""Idh3g"", ""Mrpl3"", ""Timm29"", ""LOC103693430"", ""Sdhc"", ""Atp5pd"", ""Ndufa5"", ""Pmpca"", ""Mrpl10"", ""Mief1"", ""Mrps25"", ""Malsu1"", ""Mrps36"", ""Pink1"", ""Mrpl45"", ""Ndufa13"", ""Ndufa6"", ""Ndufs7"", ""Ndufb7"", ""Ndufs3"", ""Mrps31"", ""Grpel1"", ""Mtg1"", ""Mrpl54"", ""Mrps14"", ""Atp5f1e"", ""Ndufs8"", 
""Mrps10"", ""Mcub"", ""Afg3l1"", ""Bckdha"", ""Atp5mc2"", ""Ppif"", ""Mt-nd5"", ""Mpv17l2"", ""Mrpl48"", ""Ndufb8"", ""Ndufa7"", ""Mrpl42"", ""Apoo"", ""Mrpl46"", ""Mrps26"", ""Pmpcb"", ""Mrpl27"", ""Ndufa12"", ""Mrps28"", ""Mrpl28"", ""Mrpl13"", ""Sdhd"", ""Mcu"", ""Ndufb9"", ""Uqcc3"", ""Mrpl16"", ""Timm22"", ""Cox4i2"", ""Cox8a"", ""Ndufs5"", ""Bckdhb"", ""Clpx"", ""mrpl9"", ""Cox6a1"", ""Mt-co1"", ""Ndufa4l2"", ""Mt-nd1"", ""Mrpl49"", ""Timm10b"", ""Dap3"", ""Timm21"", ""Nsun4"", ""Pam16"", ""Dnajc19"", ""Mt-nd4"")"
"6963","CUL2-RING UBIQUITIN LIGASE COMPLEX%GOCC%GO:0031462","0.87741935483871","1","0.269672328596583","0.686517786850432","3671","15","c(""Asb4"", ""Zyg11b"", ""Zswim4"", ""Zswim5"", ""Zer1"", ""Commd1"", ""Arih1"", ""Zswim8"")"
"6964","DYNEIN COMPLEX%GOCC%GO:0030286","0.218453188602442","0.709995252448301","0.361669375273508","1.15905059167589","804","41","c(""Dnah7"", ""Dynlrb2"", ""Dnah17"", ""Dnah9"", ""Dnal4"", ""Dnai1"", ""Dnhd1"", ""Wdr78"", ""Dnah8"", ""Dync1i1"", ""Drc1"", ""Dync1h1"", ""Dynll1"", ""Dync1li1"", ""Dync2h1"", ""Ccdc65"", ""Tctex1d2"", ""Tpr"", ""Dynlt3"")"
"6965","TRANSCRIPTIONALLY ACTIVE CHROMATIN%GOCC%GO:0035327","0.99482557169087","1","-0.181097915653766","-0.467191058884623","5959","21","c(""Padi2"", ""Hist1h1c"", ""Ice2"", ""Pcid2"")"
"6966","MEMBRANE COAT%GOCC%GO:0030117","0.985955056179775","1","0.184740260986596","0.687088249896069","3158","90","c(""Kcnq5"", ""Synj1"", ""Aak1"", ""Dnm1"", ""Sgip1"", ""Ap4m1"", ""Tepsin"", ""Ap2a2"", ""Ap3m2"", ""Ap2s1"", ""Sec24b"", ""Dab2"", ""Dnm1l"", ""Ap1s3"", ""Ap5m1"", ""Vps41"", ""Epn2"", ""Clba1"", ""Ap3s1"", ""Vps18"", ""Sec31a"", ""Igf2r"", ""Baiap2l2"", ""Tbc1d5"", ""Ap5b1"", ""Cltc"", ""Ap2a1"", ""Hmces"", ""Ap2b1"", ""Arcn1"", ""Tmed3"", ""Sec13"", ""Vps39"", ""Eps15l1"", ""Ap3b2"")"
"6967","TRANSCRIPTION ELONGATION FACTOR COMPLEX%GOCC%GO:0008023","0.258261594001666","0.757833624948684","0.337822584622352","1.12540310148155","929","49","c(""Mms22l"", ""Epop"", ""Tonsl"", ""Cdk12"", ""Eloa"", ""Aff3"", ""Nelfcd"", ""Elp1"", ""Wdr61"", ""Ell2"", ""Ccnt1"", ""Supt6h"", ""Ice1"", ""Snw1"", ""Ercc6"", ""Cdk13"", ""Elp2"", ""Supt5h"", ""Eaf1"", ""Setd5"", ""Elof1"", ""Cdc73"", ""Nelfa"", ""Aff4"", ""Ell3"", ""Rb1"", ""Eloc"", ""Supt16h"", ""Zc3h8"", ""Paf1"", ""Pex2"", ""Ell"")"
"6968","H4/H2A HISTONE ACETYLTRANSFERASE COMPLEX%GOCC%GO:0043189","0.858047236425615","1","0.265858919056077","0.72057778864708","3523","19","c(""Trrap"", ""Ruvbl2"", ""Epc2"", ""Ep400"", ""Kat5"", ""Msl3l2"", ""Meaf6"", ""Ruvbl1"", ""Brd8"")"
"6969","MITOTIC SPINDLE POLE%GOCC%GO:0097431","0.570406337848198","1","0.319722750690909","0.928114950742716","2231","26","c(""LOC100911256"", ""NEWGENE_1582771"", ""Kif20b"", ""Aspm"")"
"6970","PROTEIN COMPLEX INVOLVED IN CELL ADHESION%GOCC%GO:0098636","0.0240298749797045","0.261492933845212","-0.555127596022456","-1.53349045250657","147","29","c(""Npnt"", ""Itga4"", ""Itga10"", ""Itgal"", ""Itga2b"", ""Itgam"", ""Pmp22"", ""Itga11"", ""Itgb2"", ""Itga6"", ""Itga9"", ""Itgb3"", ""Itga5"", ""Itga1"", ""Lyn"")"
"6971","CARBOXY-TERMINAL DOMAIN PROTEIN KINASE COMPLEX%GOCC%GO:0032806","0.567714780886358","1","0.334855302793316","0.917735126214209","2292","20","c(""Cdk12"", ""Gtf2h3"", ""Mnat1"", ""Ccnt1"", ""Gtf2h4"", ""Snw1"", ""Cdk13"", ""Gtf2h2"", ""Ercc3"", ""Gtf2h1"", ""Ccnh"")"
"6972","RNA POLYMERASE II TRANSCRIPTION FACTOR COMPLEX%GOCC%GO:0090575","0.999584545076859","1","-0.163885199181916","-0.580010270288918","7217","132","c(""Neurod1"", ""Rarb"", ""Tcf7l2"", ""Fos"", ""E2f2"", ""Nfya"", ""Tead1"", ""Tle4"", ""Pou2f1"", ""Hmga1"", ""Jund"", ""Lef1"", ""Mxi1"", ""Ddit3"", ""E2f6"", ""Taf13"", ""Med6"", ""Gtf2h5"", ""Mxd4"", ""Ncoa3"", ""Tcf12"", ""Taf9"", ""Ppard"", ""E2f5"", ""Rarg"", ""Gtf2b"", ""Rxra"", ""Hipk2"", ""Atf4"", ""Tbpl1"", ""Med4"", ""Taf12"", ""Nr1i3"", ""Gemin5"", ""Taf4"")"
